authorDisplayName,textDisplay,likeCount,publishedAt
@명짱,진짜 너무 신나게 노는 재배원. 역시 재배원은 무대위 최고,7,2026-05-28 02:04:16 UTC
@물과나,"제베원
원전 고 컬리티의 레전들 멋지당❤❤❤❤❤",9,2026-05-30 10:46:24 UTC
@JK-lj3vp,제베원 5명을 응원하게 만드는 영상 셜록 커버 멋있어,6,2026-05-25 11:20:56 UTC
@aringt,I'm proud of you zerobaseone,7,2026-06-13 04:04:56 UTC
@renoo2510,I VOTED FOR THE RIGHT ONES,5,2026-07-02 07:34:39 UTC
@Djsidhwjsidhfneuwis,커버인데 라이브해버리니,7,2026-05-29 23:33:24 UTC
@방탄제베원79,너어어무 잘해~ 제베원 짱!!💙🔝,8,2026-06-02 02:41:08 UTC
@Idkaboutu_02,"ZB1 never fails at covers 
The song is so hard but they ate",5,2026-07-01 11:11:12 UTC
@aimslopez4912,damn everyone can sing,8,2026-05-21 04:22:25 UTC
@heyimnotamy,"my jaw was on the floor the whole time, they are just TOO DAMN GOOD",6,2026-05-28 12:46:42 UTC
@Grace-ku2lx,캬 라이브 미쳤다,8,2026-06-01 06:59:00 UTC
@cynthia-usa,Hanbin stage presence is the best.,7,2026-05-21 08:48:42 UTC
@Ditto012,최고다👍👍👍👍👍 역시 제로베이스원 멋지다,8,2026-05-31 13:36:47 UTC
@Jeppeplayer1,"The best Sherlock cover I've ever seen. Think I've watched this performance for over 10 times. Incredibly strong vocal and dance!

I can see Hanbin's ambition from his eyes in the ending.

Best luck to ZB1's new era.",12,2026-05-21 12:24:33 UTC
@cwcwc-r2l,what an INCREDIBLE performance holy shit,7,2026-06-02 14:15:47 UTC
@peipei04,This is perfect cover SHERLOCK. I’m shawol and in my opinion this stage is very impressive for me in every part of each member is powerful. I didn’t expect but they did 100%PERFECT✨,11,2026-05-22 15:00:32 UTC
@Awamagoo,This performance is seriously so good 😭😭❤️,5,2026-05-27 18:24:14 UTC
@hee_myang,5인조 개편 후 가장 잘 보여준 거 같음 전부는 실패했지만 아오아 팬으로서 오디션 돌이 1-2명이라도 그룹 유지해주는 거가 감사해진다..... 아예 이렇게 컨셉츄얼하게 나와도 될 듯 파트라고 해야하나 쨌든 이정도 구성해서,12,2026-05-21 02:50:20 UTC
@2001.o_o,taerae is SO 2nd gen oh my god! this song suits him so well,8,2026-05-21 12:08:18 UTC
@Caretocaress,Uk the cover gonna ate when it's done by ZEROBASEONE,8,2026-05-21 11:09:38 UTC
@bobabinhan,i come here every day,4,2026-06-21 09:29:02 UTC
@geegeegee1,i fell in love with taerae as a vocalist,5,2026-05-28 14:08:10 UTC
@sabrinashifa9005,Wah Kim Jiwoong 👍🏼,5,2026-05-21 23:52:40 UTC
@OMGG22,도파민 터지는 커버영상,5,2026-06-14 07:49:58 UTC
@americano-j9e,진짜 레전드 무대다 성한빈 부드러운 음색에 허스키 한스푼 인줄 알았는데 힘있는 파워보컬도 되네 셜록이랑 너무 잘어울림👍🏻 제베원 다음 앨범은 이런 노래로 가자!!,4,2026-06-18 02:15:15 UTC
@minjunglee6933,제베원이 제베원했다!! 찢엇다!!1 더더더더더 잘되자!!!,8,2026-05-21 01:31:30 UTC
@user-chmarebecca,"My first time hearing the song and see the performance in KCON Japan live streaming on May 10th, and I was obsessed by their super loud and clear and strong vocal performances and stage performances🤩👍👏👌
I was so into the song I even searched the original and listened to it but afterwards, but I still came back and watch the live streaming cuts again and again and again! What a satisfying feeling while watching ZEROBASEONE perform the song, although ZB1 became 5 and a part of me was still left in March 15th KSPO Dome but this performance was so stunning and I feel the stage was full and fulfilling somehow that mended my broken heart......
I love this performance so much and I love you, ZEROBASEONE, you need to be more known and more famous👏👏👏👏👏👍👍👍👍👍🤝🤝🤝🤝🤝💙🌹",15,2026-06-08 05:36:43 UTC
@awtaerae,Finally the official high quality upload,5,2026-05-21 05:20:10 UTC
@rerecord4275,성한빈 눈빛봐,4,2026-06-08 00:15:19 UTC
@말랑-b2i,미쳤다,9,2026-05-21 13:31:09 UTC
@타쟈-x8h,태래작두탔던무대,6,2026-05-23 16:49:29 UTC
@kk74211,김지웅ㄹㅈㄷ,15,2026-05-21 02:12:26 UTC
@shreyapaul6072,Ji Woong looks so  good,31,2026-05-21 03:28:50 UTC
@박지영-m4c3i,03:39 투나잇! 제베원 인 더 하우스! 개멋져ㅠㅠㅠ,4,2026-06-02 15:13:37 UTC
@제베원영원해,제베원멋쟁이5명 케이콘무대찢었다💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙,7,2026-05-21 02:11:57 UTC
@Betweenmarsandjupiter,"The fact that they were even brave enough to cover this song says a lot, AND THEN they pulled it off like CRAZY",2,2026-05-23 02:51:24 UTC
@arbyzik9578,"Omg, I love this cover soo much ❤",4,2026-05-28 18:56:53 UTC
@aroa_,진짜 레전드 커버 하나 또 탄생했다...제베원 커버곡 할때마다 레전드 경신하네🥹,4,2026-05-21 05:41:32 UTC
@Mahbsn01,The harmonization is crazy hello ??,4,2026-05-26 20:06:02 UTC
@_aprilNiGhts_,Kim Ji-Woong Thumbnail Kim Ji-Woong's Unique Voice Kim Ji-Woong's Flawless Visual I Love You Baby I'm Here for You It Makes Me Happy to See You Getting the Love and Attention You Deserve !!!! 🥺🫠🌸💞💐😩🤭🥴⚘️❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,8,2026-05-22 20:35:21 UTC
@GyeomDan,✨️제로베이스원✨️,5,2026-05-24 15:35:53 UTC
@yufan-tt3yz,"As a SHINee world + Zerose, this make me so crazy😭💕",3,2026-05-23 16:53:48 UTC
@Haru-k4q,"Zb1 tiene voces increíbles, ame este cover.",5,2026-06-16 14:53:31 UTC
@EE-eq3pl,They did amazing!!!,4,2026-05-21 02:02:17 UTC
@2001.o_o,taerae curious AS HELLL,5,2026-05-21 12:07:37 UTC
@zeroseallin,제베원  진짜 잘해요. 신곡 <top5> 스춤영상도 진짜 좋아요 뮤비도 보시고 좋아요👍🏻로  응원부탁드려요. 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,11,2026-05-21 02:06:00 UTC
@은-s9h,아개좋아,5,2026-05-27 02:19:25 UTC
@qjkrjgkj,just amazed,5,2026-05-27 09:31:12 UTC
@ffgrr0715,개잘해,4,2026-05-21 03:11:13 UTC
@Alexandradominguezog,That was satisfying to watch,5,2026-05-27 20:37:33 UTC
@Akansha-x5r,Jiwoong ❤,4,2026-05-28 01:51:43 UTC
@PaiaLor,Awesome ❤❤❤,4,2026-05-26 13:08:03 UTC
@madelyn_k-bookworm11,omggg i love zerobaseone so much... im so proud of them and this is such a good cover!! <3333 (also they look so good?!!!!),6,2026-05-21 01:58:04 UTC
@동동-k9c,다시 봐도 미쳤다,4,2026-06-15 12:35:50 UTC
@foreverS2matthew,제베원 자랑스러워 너무 잘하고 멋있다 💙,4,2026-05-21 05:45:43 UTC
@srilestari-xv7xd,"The out fit is so good,..all of yhem so handsome...",3,2026-05-29 02:09:18 UTC
@동동-k9c,레전드 커버,3,2026-07-04 15:10:13 UTC
@n_xiaolong8085,Wow! Cover this masterpiece… U guys are brave! 👏💐,3,2026-06-15 16:14:06 UTC
@gabrielangel1111,샤이니 라이브 커버 난이도 헬인데 이정도면 진짜 선방함,4,2026-05-25 07:32:45 UTC
@user-xg9ki6we7d,라이브 진짜 짱짱하다❤❤,3,2026-05-21 08:12:12 UTC
@OMGG22,올라운더 5명 잘했어 멋져!!,6,2026-05-22 04:57:19 UTC
@raihanDimas-q7v,Bener bener TOP 5,3,2026-05-31 13:14:01 UTC
@Rainier-b5o,TAERAE IS CRAZYYYY!,5,2026-05-23 15:04:58 UTC
@blushmin0804,독기 충전해야할때 주기적으로 보러옴,2,2026-07-31 10:32:34 UTC
@manuelasaraiva8488,They slayed this cover 🔥👏😍,2,2026-05-22 22:27:20 UTC
@young0512,최고다🎉❤,4,2026-05-21 02:25:02 UTC
@bumreyk,oh main vocal kim jiwoong don't hurt them like that!!!!!!!!!!!!!!!!!!!,31,2026-05-21 01:28:07 UTC
@bobabinhan,IM SO CURIOUS YEAHHHH,2,2026-06-03 04:51:09 UTC
@KenrieZB1,WHY IS THIS PERFORMANCE SO UNDERRATED LIKE IT'S RARE TO SEE A 5TH GEN GROUP HAVE THIS KIND OF VOCALS AND INCREDIBLE DANCERS,23,2026-05-24 11:55:06 UTC
@vegas9992,😊i feel so youthful watching this,2,2026-05-22 22:20:21 UTC
@Emm-os1qo,So happy to see a SHINee cover! I'll have to check out more of their music <333,3,2026-05-27 00:25:22 UTC
@yolbs,WOW?!,3,2026-06-10 14:23:06 UTC
@bm-d2n,제로즈 기살아❤ 내가 제로즈로 뼈를 묻는다 !,4,2026-05-21 14:16:25 UTC
@rice.wheat.barely,와 찢음,4,2026-05-22 06:55:21 UTC
@wdzjnk,they did so well!!,2,2026-05-23 07:11:14 UTC
@사람-q3m5z,진짜 너무 잘했어,3,2026-05-21 04:42:31 UTC
@말랑-b2i,멋있다,3,2026-05-21 11:29:04 UTC
@zerose5-n9y,❤,4,2026-06-03 14:36:56 UTC
@TaeRaeFang,"방전됐던 도파민 풀 충전 완료✔️
볼 때 마다 온 몸에 전율이...💙",3,2026-05-21 04:44:47 UTC
@천리향-w8v,두두두둥😍,4,2026-05-21 04:08:39 UTC
@NaVi-p6w,썸넬 지웅한빈 보고 후다닥 들어옴❤❤❤❤❤❤,4,2026-05-23 22:01:21 UTC
@sorly2233,어 최고야,3,2026-05-21 08:54:50 UTC
@eanalui,SOBBING RN THEY ARE SO GOOD OMG,2,2026-05-23 00:24:17 UTC
@MEMZB1,This is too good,2,2026-05-26 14:35:44 UTC
@dckim5787,zerobaseone ❤❤❤❤,2,2026-05-21 03:34:41 UTC
@ling0_1yi,제베원 최고!!!!!!!!!💙💙💙,3,2026-05-21 12:50:32 UTC
@Caretocaress,Amazing vocal show,1,2026-05-21 11:12:22 UTC
@coco-hari,성한빈 이 노래랑 너무 잘 어울리고 진짜 완벽하게 잘 했다,2,2026-05-21 07:42:13 UTC
@안수지-f4i,와 너무 좋다 ㅠㅠ😊,3,2026-05-21 01:53:13 UTC
@bunnykookie8359,"Visual top 1, Vocal top 1, Performance top 1",2,2026-05-21 08:44:48 UTC
@ymyle,hermosa voz que se carga Jiwoong,2,2026-05-21 16:12:22 UTC
@evasagira1011,insane! I never enjoyed a shinee cover from other groups bcz imo nothing could top shinee but zb1 really proved that they can outshine the og,3,2026-05-24 20:37:41 UTC
@고추장이조아,이것도 1.05배로 들을게요. 사자보이즈같넹 멋있네!,2,2026-06-26 12:18:32 UTC
@Adrihe.,Они очень крутые,4,2026-05-23 17:15:54 UTC
@merlinjenk1ns,3:12 my boy matt you did so good😭🫶🏻🫶🏻,1,2026-05-24 13:52:51 UTC
@chocoball-t3r,0:36 여기 한빈이 시원시원한 목소리에 기절함... 😵‍💫💦💦,2,2026-05-27 05:17:49 UTC
@gracezb1,Thank you for support Shawol! If you enjoy this you might like ZB1’s new comeback TOP5. It has a similar 2000s r&b style.,4,2026-05-22 21:01:26 UTC
@ppeekkppe,김지웅 넘 멋있어 ㅠㅠ,2,2026-05-21 07:36:00 UTC
@OMGG22,멋있어 제베원 최고야!!,3,2026-05-21 07:30:16 UTC
@sunshinias,Matthew is so fine,3,2026-05-30 01:09:00 UTC
@iamcoriane9854,One of the best shinee covers I've ever seen,1,2026-05-21 20:41:27 UTC
@fadillaaulya9658,SOOOOOO GOOOODDD,3,2026-05-26 17:27:22 UTC
@cherryrose16,Park Gunwook my ace allrounder💙,3,2026-05-21 19:47:24 UTC
@klapietart,KEREN BGT GILAAAAAAAAAA.. COVER MACAM APA INI???!!!,4,2026-06-14 14:17:28 UTC
@user-vc6gb5ym3h,제베원 서바이벌시절 독기로 입덕했기 때문에 이번 독기무대를 보고 재입덕함...,0,2026-05-21 15:42:32 UTC
@웅웅-p4t,멋쟁이들❤❤❤,2,2026-05-21 03:22:06 UTC
@looveknow,"OMGGG YEAAA, I LOVE U GUYS🌺🌺 ZB1 IN THE HOUSE!",2,2026-05-25 21:12:48 UTC
@periodicmania,I wished they captures Jiwoong lookmaxxing tae rae at the beginning lmao that was hilarious,3,2026-07-12 13:56:01 UTC
@caro_dondy,"BEST COVER. YOU BOYS DID SO WELL FOR YOUR FIRST STAGE AS 5. 
ALSO, OH I'M CURIOUS YEAH REMINDS ME OF SOMEONE ELSE'S DEBUT TRACK. :')",2,2026-05-26 12:47:57 UTC
@voraaacity,taerae is curious as HELLLL,3,2026-05-23 03:57:54 UTC
@kipgoin,사운드가 빵빵하다,1,2026-05-21 07:18:58 UTC
@Yutingrae7,💙💙💙,3,2026-06-02 11:02:44 UTC
@yaoilover6_9,this is gen so iconik omg... seok mattchu's stage presence is actually insane-- how can one look like they own the stage with that much groovee!!??~ 😯,2,2026-05-21 22:20:40 UTC
@Nel-SideQuest,"Yeppp, it's LIVE",1,2026-05-21 04:03:22 UTC
@제로-z9i,사랑해 제베원❤❤,2,2026-05-21 23:12:23 UTC
@OMGG22,제베원 사랑해!!,2,2026-05-21 07:04:33 UTC
@xotsidsid,레전드 떴다.,1,2026-05-22 16:36:59 UTC
@oldgrannystan,PSSSSSTTT ZB1...make your next comeback sound like this,0,2026-08-08 14:19:47 UTC
@SJ-rk6cv,레전드,2,2026-05-21 11:05:36 UTC
@shanbincha,Vocalbaseone 🙂‍↕️ one of their best covers 🔥,1,2026-05-21 16:27:49 UTC
@maverbin,ARTEEEEE,2,2026-05-21 02:07:16 UTC
@SHDD-Memories,The best cover ever ❤ ZB1 🎉,1,2026-05-22 02:56:02 UTC
@melaneac,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,3,2026-05-24 20:45:35 UTC
@deborab.8971,My Vocalbaseone 🥰,1,2026-05-21 23:39:49 UTC
@fi7696,sing for us vocalbaseoneeee!!!,0,2026-05-23 17:22:50 UTC
@SweetHappiness24,Shinee is back 😢🎉,1,2026-05-21 01:54:35 UTC
@ungiverse,They five but they ATE,1,2026-05-21 07:26:36 UTC
@aimeearmentacota8193,💙💙💙💙💙,3,2026-05-21 01:24:30 UTC
@tiffanynotfunny,"I'M SO PROUD OF THEM T.T JEBEWON HWAITING
def see how much effort they put
i literally was about to cry
i hope hanbin knows he is a great dancer, a great vocalist and leader
i hope jiwoong knows he is talented in singing too other than dancing
i hope taerae knows he is good in dancing and his dancing skill has improved since the boysplanet era
i hope matthew knows that he is unique and has his own vocal style, good at dancing and rap too 
i hope gunwook knows that he is indeed an all-rounder, he dances and raps like there's no tomorrow",2,2026-05-22 14:44:56 UTC
@HenryLau-kn9qe,🎉🎉🎉,2,2026-05-21 02:32:18 UTC
@forocca0925,Here for more of the amazing SUNG HANdsome BIN💖❣😍🫶🥰,6,2026-05-21 08:18:34 UTC
@urkeiiyaa,❤❤❤,3,2026-06-07 23:06:06 UTC
@Fruitseeun,I still watch this everyday,0,2026-08-08 15:14:09 UTC
@starrystella528,❤❤,2,2026-05-21 03:22:12 UTC
@aimeearmentacota8193,❤❤❤❤❤,3,2026-05-21 01:24:23 UTC
@응이-g6v,오 그래도 다섯이서 잘하넹,3,2026-06-02 06:32:58 UTC
@2001.o_o,i need them to cover TVXQ's Mirotic now,1,2026-05-21 12:07:03 UTC
@bttr_fly_wngs,such an amazing cover,0,2026-08-12 05:16:57 UTC
@kawaiikeikoo,OH IM CURIOUS YEAAAH,0,2026-08-12 20:24:31 UTC
@ladamoiselleelue5588,와 썸네일 성한빈 미쳤나 😇제베원 독기커버가 ㄹㅈㄷ,1,2026-05-21 10:29:30 UTC
@Kaeldra3,Kim Taerae I hear and see you,2,2026-05-22 00:11:15 UTC
@taerae_puppy,아...내베원 독기남들 사랑해요.........,1,2026-05-21 05:12:06 UTC
@DucktaeraeKim-l3s,Lo hicieron genial ❤🎉,1,2026-05-21 16:55:43 UTC
@sung_hanbin9zb1,Zerobaseone 😱😭😭😭💋💋💙💙,2,2026-05-21 07:10:08 UTC
@2001.o_o,VOCALBASEONE,1,2026-05-21 12:09:32 UTC
@kiy5t7ui,they are so good,2,2026-07-05 06:22:20 UTC
@kjpark5652,라이브 실화인가요? 춤도 노래도 완벽!!,2,2026-05-22 15:13:50 UTC
@Smoothie-vs8id,독기 가득한 라이브로 무대찢은 제베원!이번 신곡 TOP5 도 정말 명곡이에요 많은 관심 부탁드립니다!!!🫶🏻,1,2026-05-22 16:22:51 UTC
@bobabinhan,im still very curious btw,3,2026-06-16 15:29:36 UTC
@AF-sf7gb,ICONIK!!!!!!!!!!!! OMGGGGGGGGGGG,2,2026-05-22 08:39:36 UTC
@kys7129,고화질원본이오셧구나,1,2026-05-21 06:08:39 UTC
@userpeeb9kdkhqv,독기❤,1,2026-05-21 23:32:46 UTC
@celesmerii,❤❤❤❤❤❤,1,2026-05-26 11:38:03 UTC
@kitareiiiiii,김지웅 커버 완전 ㄹㅈㄷ,22,2026-05-21 01:25:57 UTC
@oleafya,😍😍😍😍😍,1,2026-05-22 22:05:06 UTC
@sbjw2304,Soooooooooo COOL!! 👏👏👏👏,1,2026-05-22 16:28:18 UTC
@cazchwue94,"AS A SHINEE FAN, THEY NAILED IT!",0,2026-08-10 02:34:49 UTC
